Manufactor ,Model,Quantity,Product Link,Quantity,Recommended Verkada Device ,Second Rec,If indoor,Mounts 
Hanwha Techwin,SNP-6320RH,14,https://hanwhavisionamerica.com/product/snp-6320rh-discontinued/,14,PTZ,CF-81,,
Hanwha Techwin,QND-6070R,2,https://hanwhavisionamerica.com/product/qnd-6070r-discontinued/,2,CM42,,,
,,,,,,,,
Arecont,AV2255PMIR-SH,93,https://sales.arecontvision.com/product/MegaDome2/AV2255PMIR-SH,93,CD42-E,CD32-E,CM42,
Arecont,AV3255PMIR-SH,9,https://sales.arecontvision.com/product/MegaDome+2+Series/AV3255PMIR-SH,9,CD42-E,CD32-E,CM42,
,,,,,,,,
,,,,,,,,
Axis,Axis M7001,1,COAX Converter,,,,,
Axis,Axis M7014,1,COAX Converter,,,,,
Axis,Axis M3027,1,https://www.axis.com/dam/public/f1/3d/39/datasheet-axis-m3027-pve-network-camera-en-US-271755.pdf,1,CF-81,N/A,,Angle mount 
Axis,Axis M3057 - PLVE Mk I ,2,https://www.axis.com/products/axis-m3057-plve-mk-ii/support,2,CF-81,,,Angle mount 
Axis,Axis P8221,9,Audio Module ,,,,,
Axis,Axis M5525-E,1,https://www.axis.com/products/axis-m5525-e/support,1,PTZ,CH52-E,,
Axis,Axis P3247-LVE,2,https://www.axis.com/dam/public/cc/6d/b5/datasheet-axis-p3247-lve-network-camera-en-US-443293.pdf,2,CD42-E,,CM42,Recessed / Hood 
Axis,Axis P3265-LVE,1,https://www.axis.com/products/axis-p3265-lve#technical-specifications,1,CD42-E,,CM42,Recessed / Hood 
Axis,Axis P3367,1,https://www.axis.com/products/axis-p3367-ve/support#technical-specifications,1,CD42-E,,CM42,Recessed / Hood 
Axis,Axis P3375-V,1,https://www.axis.com/dam/public/79/13/fe/datasheet-axis-p3375-v-network-camera-en-US-297149.pdf,1,CM42,,,
Axis,Axis P3224-V-Mk II,1,https://www.axis.com/dam/public/98/50/11/datasheet-axis-p3224-v-mk-ii-network-camera-en-US-283488.pdf,1,CM42,,,
Axis,Axis FA54,3,NVR ,,,,,
Axis,Axis F44,1,Audio Box,,,,,
Axis,Axis P3245-V,1,https://www.axis.com/dam/public/d6/4b/f5/datasheet-axis-p3245%E2%80%93v-network-camera-en-US-443270.pdf,1,CM42,,,
,,,,,,,,
,,,,,,,,
Bkav,P450,44,https://bkavsmarthome.vn/camera-ai-view-p450-0803f,44,CD62-E,,,
Bkav,P200,44,https://bkavsmarthome.vn/camera-ai-view-p200-0802n,44,CB62-E,,,
,,,,,,,,
,,,,,,,,
Bosch,NDV-8502-RX,1,https://netcamcenter.com/en/products/ip-cameras/ndv-8502-rx,1,CM42,,,
Bosch,NDE-5702-AL,3,https://netcamcenter.com/en/products/ip-cameras/nde-5702-al,3,CM42,,,
Bosch,NBE-7604-AL-OC,1,https://esaitech.com/products/bosch-nde-7604-al-oc-flexidome-inteox-7100i-8mp-3-6-to10mm-ir-fixed-dome-camera?gad_source=1&gclid=CjwKCAjwhvi0BhA4EiwAX25ujxJipDrq5vAo0vx8Fb70P1xiLRfvKq_fhe7F5Psy1ScJWY17fdSOxRoCu0EQAvD_BwE,1,CD62,,,
,,,,,,,,
,,,,,,,,
OneCam Grandeye,Evolution,1,https://www.oncamgrandeye.com/products/evolution/,1,CF-81,,,
OneCam Grandeye,EVO-05LxD,1,https://www.oncamgrandeye.com/product/evolution-05-indoor/,1,CF-81,,,
,,,,,,,,
,,,,,,,,
Sentry360,FS-IP4180,9,https://www.asmag.com/product_detail.aspx?modv=1002&id=19322,9,CF-81,,,
Sentry360,FS-IP5000-M,2,https://objects.eanixter.com/PD403886.PDF,2,CF-81,,,
,,,,,,,,
,,,,,,,,
Avigilon ,3.0C-H4A-25G-BO2-IR,1,https://www.securityinformed.com/avigilon-3-0c-h4a-bo2-ir-ip-camera-technical-details.html,1,CB62-E,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
,,,,  ,,,,
