camera model,count
Advidia M-46-V,1713
Advidia E-37-FSW,562
Advidia VP-16-V2 Video Encoder,435
Advidia E-47-V,314
Advidia A-14,164
Advidia VP-16 Video Encoder,137
Advidia A-34,87
Advidia M-46-FW,70
Advidia M-87-V,59
Advidia A-15,41
Advidia A-37-F,30
Advidia B-31,12
Advidia B-33,14
Advidia A-17-F,11
Advidia A-44-IR,9
Advidia A-46-FW,6
Advidia M-45-FW-V2,6
Advidia A-47,3
Advidia A-45,2
Advidia A-35,1
Panasonic / i-PRO WV-X8570N,441
Panasonic / i-PRO WV-X8571N,275
Panasonic / i-PRO WV-S8574L,220
Panasonic / i-PRO WV-S8543L,21
Panasonic / i-PRO WV-S2131L,8
Panasonic / i-PRO WV-S4156,6
Panasonic / i-PRO WV-S8531N,4
Panasonic / i-PRO WV-S8544L,4
Panasonic / i-PRO WV-S25500-V3L,1
