MAC Address,Status,Address,Model,Firmware,DHCP,HTTPS,Server,Warranty expiration,Host Name,IEEE 802.1X,Tags,UPnP Friendly Name,Warranty start
ACCC8E02DBAE,OK,10.1.34.14:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DBAE,9/11/2016
ACCC8E02DBBA,OK,10.1.34.12:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DBBA,9/11/2016
ACCC8E02DBD0,Not accessible,10.1.34.24:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DBD0,9/11/2016
ACCC8E02DBE2,OK,10.1.34.13:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DBE2,9/11/2016
ACCC8E02DC0F,Not accessible,10.1.34.25:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DC0F,9/11/2016
ACCC8E02DC3D,Not accessible,10.1.34.27:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DC3D,9/11/2016
ACCC8E02DC44,Not accessible,10.1.34.26:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,9/11/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02DC44,9/11/2016
ACCC8E02E7A2,OK,10.1.34.43:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,10/12/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02E7A2,10/12/2016
ACCC8E02E79B,OK,10.1.34.44:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,10/12/2019 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E02E79B,10/12/2016
ACCC8E2B57D8,OK,10.1.34.20:443,AXIS P3214-V,6.50.5.8,No,Enabled,MSMGMT1,6/17/2019 (3Y),,Disabled,,AXIS P3214-V - ACCC8E2B57D8,6/17/2016
ACCC8E2B57E5,OK,10.1.34.31:443,AXIS P3214-V,6.50.5.8,No,Enabled,MSMGMT1,6/17/2019 (3Y),,Disabled,,AXIS P3214-V - ACCC8E2B57E5,6/17/2016
ACCC8E2B57F0,OK,10.1.34.7:443,AXIS P3214-V,6.50.5.8,No,Enabled,MSMGMT1,6/17/2019 (3Y),,Disabled,,AXIS P3214-V - ACCC8E2B57F0,6/17/2016
