EXHI,,,,,,,,,,,,,,,,,
ALARM SECURI,,,,,,,,,,,,,,,,,
EQUIPMENT,,,,,,,TY SOLUTIONS INVENTORY,,,,,,,,,,
Location,Description,,,,Brand,,Model,,Serial,,,,,,,,
1 Martinez II,Front Gate,,,,Axis,,P3905,,,,,,,,,,
2 Martinez II,Recycle Gate,,,,Axis,,P1344,,,,,,,,,,
3 Martinez II,Rear Door - inside,,,,Sony,,SNC-DH180,,,,,,,,,,
4 Martinez II,Front Door - inside,,,,Sony,,SNC-DH180,,,,,,,,,,
5 Martinez II,Lunch Room Door - inside,,,,Sony,,SNC-DH180,,,,,,,,,,
6 Martinez II,Back Lot Gate,,,,Axis,,Q1602,,,,,,,,,,
7 Martinez II,Back Sidewalk,,,,Axis,,Q1602,,,,,,,,,,
8 Martinez II,Front Lot,,,,Axis,,Q1602,,,,,,,,,,
9 Martinez II,Front Equip Shed,,,,Axis,,Q1604,,,,,,,,,,
10 Martinez II,Equip Front Lot,,,,Axis,,P3227-LV,,,,,,,,,,
11 Martinez II,Equip Shop,,,,Axis,,Q1602,,,,,,,,,,
12 Martinez II,Back Lot South,,,,Axis,,Q1604,,,,,,,,,,
13 Martinez II,Tractor Shed,,,,Axis,,Q1604,,,,,,,,,,
14 Martinez II,Back Inspection Office,,,,Axis,,Q1604,,,,,,,,,,
15 Martinez II,Back Lot East,,,,Axis,,Q1604,,,,,,,,,,
16 Martinez II,Plant Gate,,,,Axis,,P1405-LE,,,,,,,,,,
17 Brooklyn Dam,Plaza Overview,,,,Axis,,M4318-PLVE,,,,,,,,,,
18 Brooklyn Dam,Bathroom Hallway,,,,Axis,,M4318-PLVE,,,,,,,,,,
19 Euclid,Bosch Analog Encoder,,,,Bosch,,VIP X16 XF E,,,,,,,,,,
20 Euclid,Bosch License Plate Reader,,,,Bosch,,NER-L2,,,,,,,,,,
21 Euclid,Front Sidewalk,,,,Axis,,M3027,,,,,,,,,,
22 Euclid,Back Sidewalk under Awning,,,,HikVision,,DS-2CD2143G0-I,,,,,,,,,,
23 Euclid,North Sidewalk,,,,HikVision,,DS-2CD2143G0-I,,,,,,,,,,
24 Euclid,Inside Rear Doors,,,,HikVision,,DS-2CD2143G0-I,,,,,,,,,,
25 Euclid,Back Lot Awning,,,,HikVision,,HES324-MB,,,,,,,,,,
26 Euclid,Atlanta St Walk Gate,,,,HikVision,,HES324-MB,,,,,,,,,,
27 Euclid,West Pedestrian Walkgate,,,,HikVision,,HES324-MB,,,,,,,,,,
28 Euclid,Vehicle Gate,,,,Axis,,P1447-LE,,,,,,,,,,
29 Guenther,Front Lot North,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
30 Guenther,Parking Lot East,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
31 Guenther,Rear Parking Lot,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
32 Guenther,River Room,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
33 Guenther,Rear Parking Lot,,,,Axis,,P3265-LVWE,,,,,,,,,,
34 Guenther,Rear Parking,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
35 Guenther,Garage,,,,HikVision,,DS-2CD2752F-IZS,,,,,,,,,,
36 Guenther,Front Parking Lot,,,,HikVision,,DS-2CD2143G0-I,,,,,,,,,,
37 Guenther,Lobby Front Doors,,,,Axis,,P3225-V Mk II,,,,,,,,,,
38 Guenther,Lobby Rear Doors,,,,Axis,,P3225-V Mk II,,,,,,,,,,
39 Guenther,,HR Rear Entry,,Axis,,,P3245-LVE,,,,,,,,,,
40 Guenther,,SE Quad,,Axis,,,P3717-PLE,,,,,,,,,,
41 MROC,,Front Gate,,Axis,,,Q1602,,,,,,,,,,
42 MROC,,Bosch,,Bosch,,,NER-L2,,,,,,,,,,
45 Salatrillo,,Front Gate,,HikVision,,,HES324-MB,,,,,,,,,,
46 Sheridan A,,E Parking Entry,,Axis,,,P1447-LE,,,,,,,,,,
47 Sheridan A,,Front Entry,,Axis,,,P1447-LE,,,,,,,,,,
48 Sheridan A,,Reception,,Axis,,,M3066-V,,,,,,,,,,
49 Sheridan A,,West Parking,,Axis,,,P1447-LE,,,,,,,,,,
50 Sheridan A,,North Parking,,Axis,,,P1447-LE,,,,,,,,,,
51 Sheridan A,,East Parking,,Axis,,,P1447-LE,,,,,,,,,,
52 Sheridan,,Front Desk,,HikVision,,,DS-2CD2145FWD-I,,,,,,,,,,
53 Sheridan,,Flores Lot,,HikVision,,,DT085G,,,,,,,,,,
54 Sheridan,,Back Lot,,HikVision,,,DT085G,,,,,,,,,,
55 Sheridan,,Back Door,,HikVision,,,DS-2CD2143G0-I,,,,,,,,,,
56 Sheridan,,Outside Back Door,,Axis,,,M2026-LE Mk II,,,,,,,,,,
57 Sheridan,,Inside Backdoor South,,Axis,,,M3075-V,,,,,,,,,,
58 Upper Martinez,,Front Gate,,Axis,,,P1343,,,,,,,,,,
59 Martinez IV,,Front Gate,,Axis,,,Q1647,,,,,,,,,,
60 Martinez IV,,North border Road,,Axis,,,P3247-LVE,,,,,,,,,,
61 Martinez IV,,Plant view,,Axis,,,P3247-LVE,,,,,,,,,,
62 Martinez IV,,Plant facing office,,Axis,,,P3247-LVE,,,,,,,,,,
63 Martinez IV,,Not connected,,Axis,,,P3247-LVE,,,,,,,,,,
64 Martinez IV,,Not connected,,Axis,,,P3247-LVE,,,,,,,,,,
65 Martinez IV,,Not connected,,Axis,,,P3247-LVE,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BIT C,,,,,,,,,,,,,,,,,
